thesis,author
集水區蒸發散與基流特性之研究,洪念民
永續性河川水質管理系統之發展,陳韻如
整合型優選演算法應用於分散式地下水模式之參數結構辨識,譚仲哲
氣候變遷對區域水資源衝擊評估整合系統之研究,劉子明
整合觀測及模擬分析土地利用改變對七家灣溪水質、水溫影響之研究,李宗祐
氣象合成與水文模式之發展及因應氣候變遷之供水系統調適能力建構,連宛渝
因應氣候變遷之供水系統調適能力建構與監測修正調適路徑之研究,林嘉佑
韌性社區供水系統氣候風險評估與調適能力建構方法之發展,李苑華
韌性社區氣候風險評估暨調適決策之方法發展,陳沛芫
氣候調適演算法之發展與應用,曹榮軒
災害風險減輕與氣候變遷調適融合框架於社區韌性調適能力建構,何謹余
糧食系統對氣候災害的脆弱性和抵禦能力：海地農民的應對和適應策略,馬納西
面向低碳未來的碳捕捉、利用及封存(CCUS)技術: 專利分析見解,張清惠
區間性線性規劃與網路規劃模式之研究,李智新
氣候變遷對臺灣地區地下水補注量的影響,范純志
容量限制最小張成樹與低流量預測於川流式灌溉即時救旱系統之應用,李長穎
模擬退火演算法在地下水參數分區與抽水量率定之應用,周哲正
水庫標的線性規劃模式的解法,胡明哲
氣候變遷對台灣水稻灌溉需水量及潛能產量之影響,連宛渝
水庫標的線性規劃問題之損益網絡模式與解法,張堯忠
水庫操作規線問題的模式與解法,許少瑜
大甲溪下游調蓄水池容量設計與風險分析之研究,陳韻如
環境變遷對櫻花鉤吻鮭棲地水溫之影響,潘信宏
禁忌演算法應用於優選地下水模式參數之分區,周俊安
具角型結構線性規劃模式之二階層解法,陳威帆
淡水河水資源系統動力模式與永續管理策略之研究,陳明業
乾旱預警系統及氣候變遷對水稻生長之影響,陳嘉和
氣候變遷對櫻花鈎吻鮭棲地水溫及族群數量之影響,李宗祐
應用啟發式演算法於地下水參數分區與水質指標井之最佳化研究,譚仲哲
氣候變遷及乾旱灌溉用水移用對水稻潛能產量影響,周玫君
延散度空間型態及地下水污染源與其排放歷程反算分析之研究,陳佳正
模擬氣候變遷對櫻花鉤吻鮭域外放流棲地水溫與潛在族群數之衝擊,楊奕岑
應用模擬退火法於QUAL2E模式參數最佳化之研究,林嘉佑
淡水河流域水資源永續性評估暨管理之研究,陳思瑋
應用遺傳規劃法進行氣候預報降尺度分析於季節性河川流量預報,謝明昇
永續性水質管理系統受氣候變遷影響之脆弱度評估,王世為
氣候變遷衝擊河川水質永續管理之長期預警機制,李庭鵑
修正GWLF模式應用於氣候變遷對七家灣溪流量與泥砂量之影響評估,陳瑋茹
地下水資源永續利用規劃與管理模式,黃室毓
永續流域管理支援決策工具之建立,廖偉廷
建立氣候變遷對石門水庫供水與防洪能力之影響評估方法,何宜昕
賽局理論應用於永續性水質管理之研究,曹榮軒
氣候變遷對供水系統承載力影響評估方法之建立,莊立昕
氣候變遷對翡翠水庫供水、發電與防洪功能之衝擊評估,戴嘉慧
水污染總量管制之風險分析與排放交易研究,李貞憓
生物礫間污水氧化處理程序之數學模式,林冠儀
地表水與地下水聯合營運優選模式之發展,陳奕如
櫻花鈎吻鮭棲地氣候變遷衝擊評估與季節性預警系統建立,彭柏文
應用極端流量及水溫評估氣候變遷對櫻花鈎吻鮭棲地之衝擊,吳淑涵
綠屋頂能量與水文模式發展及本土化參數之研究,邱靜怡
氣候變遷對水資源系統脆弱度與回復力之影響評估,黃柏勛
供水系統承載力評估方法與水資源應變機制之研究,謝佳璇
新竹供水系統脆弱度空間分布優化與供水能耗分析之研究,謝曜謙
發展綠屋頂水文模式與應用於減洪效用分析,羅唯瑄
結合經驗模態分解法與k-NN移動視窗法之新型態氣象繁衍模式與應用於新竹供水系統之氣候變遷風險評估,李沅泓
結合季節性氣候預報發展新型水庫運用規線-以石門水庫為例,曾馨儀
以產業觀點建構區域供水系統之氣候調適能力,黃旭杰
結合模擬與最佳化方法發展氣候變遷之永續性暴雨管理,黃郁茹
結合季長期天氣展望發展乾旱預警與支援決策系統,田育全
經驗動態建模於季長期天氣展望與乾旱預警系統之應用-以濁水溪流域為例,林軒德
文字探勘技術強化氣候變遷調適知識管理之研究 -以水資源領域為例,黃蓉
深度學習雨量降尺度與土地利用分類應用淹水風險評估,張益嘉
建構都市社區氣候調適能力之研究,陳威凱
建立定量描述區域節氣之農民曆決策支援工具,黃敬云
以遊戲模擬方法探討乾旱時期水市場機制對水資源再分配之可行性—以桃園地區為例,王尊麟
氣候調適與聯合國永續發展目標決策整合框架：以臺灣水資源永續發展目標為例,林孟慧
發展氣候、水資源和糧食跨領域整合模式與結合氣候智慧調適演算法之應用－以桃園為例,林宗毅
氣候變遷下降雨與淺層飽和層水位引致坡地災害之風險評估-以新北市南勢溪為例,王涴雅
氣候變遷調適風險溝通-以新北市烏來區坡地災害為例,劉沁潔
從永續發展思維建構高中以下學生氣候變遷素養：以整合企業永續實務為例,洪瑋
應用世界資源研究所之水風險指標於評估桃園水資源受氣候變遷衝擊,張薰云
從臺灣傳統溫室建構智慧溫室物聯網系統:以溫室番茄的氣候風險為例,黃宇弘
TCFD氣候實體風險評估與管理架構之建立：以機場公司為例,劉憶玟
微分同胚於風速與風向降尺度分析,賴正傑
建立企業廠區水風險評估框架與應用於缺水風險評估,張慈純
極端降雨事件下利用時間序列模擬大規模崩塌潛勢區之地下水位變化輔助決策者發布警戒值,薛聖儒
企業低碳轉型：結合線性規劃與分治法決定內部碳定價策略,吳欣樺
碳定價對於產業鏈之供需影響評估之情境分析: 以臺灣產業鏈為例,林暐盛
永續森林治理的潛在正義衝擊-以原住民議題為例,劉亞綸
"提升建築永續性： 	LEED、EEWH-RS 與 GRESB 的比較分析",王于珊
永續平衡計分卡於強化企業治理的應用：以臺灣港務公司面對IFRS S2合規挑戰為例,吳和陵
企業導入自然相關財務揭露TNFD的檢核與強化工具之研究,盧玟卉
基於營養價值及應用生命週期分析碳足跡下之研究最佳低碳飲食方案,陳致綱
企業ESG永續治理整合框架與支援決策工具發展,蔡采佳
透過社會影響類別探討水稻供應鏈在永續轉型下的風險辨識,李孟諶
氣候相關財務風險影響路徑分析與互動式視覺化決策支援工具之研究,林熙哲
評估台灣科技產業員工福祉與永續策略社會面向之研究：邁向良好企業實踐的路徑,許育禎
重塑永續產品設計思維：以多目標最佳化及生命週期評估打造永續產品設計方法學,黃衍瑞
建築淨零用水之系統動態模型建構與案例實證研究,魏涓名
台灣半導體製造業的生物多樣性足跡評估與自然正成長策略,許宸瑋
農田水利基礎工程全生命週期碳盤查方法之建構―以案例驗證比較傳統與生態工程減碳效益,楊洪中祐
,葉佳諺
,莊惟鈞
,洪月菱
,曾華潭
,甘正寬
,鍾采儒
,陳膺兆
,葉豐維
,胡詠真
,吳晞
,林劭恩
